description,name,operation,price,type
"Detalles de APARTAMENTO EN RENTA EN ALBERO 14    Elegante apartamento en renta en zona 14 con lindos acabados y cuenta con 3 habitaciones, cuarto de servicio, 3 baños completos con manpara y espejos con luz led, la habitación cuenta con walking closet, baño privado y los 2 secundarios con closet y baño compartido, sala, comedor, cocina abierta con horno y plancha, microonda, refrigeradora de 2 puertas, la sala tiene chimenea decorativa, lavandería, balcón bastante amplio, en la sala con una bella vista, baño de visitas con ducha, 2 parqueos y 1 bodega Edificio cuenta con área social, juegos para niños, área verde, Business center, gimnasio, área de churrasquera y Jacuzzi.",APARTAMENTO EN RENTA EN ALBERO 14 ,Renta,"USD1,750",Apartamentos
"Detalles de Oficina en renta en zona 9 Cerca de Montufar   Oficinas en Alquiler en zona 9 Ciudad de Guatemala, con excelente ubicación cerca de áreas comerciales, areas gastronomicas, areas corporativas,  el famoso parque de la Industria, parqueos públicos,calle Montufar y restaurantes. Pequeño edificio corporativo con ascensor, seguridad.  La Oficina en renta es de 85mts2 y c uenta con dos ambientes, y recepción, 1 Parqueo .  Seguridad 24 horas, parqueo para visitas. Renta másmantenimiento Q.1, 275.00 más IVA",Oficina en renta en zona 9 Cerca de Montufar,Renta,USD850,Oficinas
"Detalles de Alquiler de Apartamento Amueblado zona 10 Guatemala   RENTA Apartamento en edificio céntrico en zona 10Guatemala  Edificio bien ubicado en el centro de zona 10,excelentes amenidades para relajarte como piscina y gimnasio, seguridad 24horas, accesos inmediatos a Centros comerciales, supermercados y restaurantesreconocidos. Apartamento totalmente amueblado y equipado.  Sala familiar,  cocina con gabinetes y línea blanca, comedor.Habitación principal con walk in closet y baño completo, 2 dormitorios concloset y baño completo compartido, área de lavandería, dormitorio de serviciocon baño completo, balcón, 2 parqueos.    La renta incluye el mantenimiento",Alquiler de Apartamento Amueblado zona 10 Guatemala,Renta,"USD1,500",Apartamentos
"Detalles de En Renta local área Food Court sobre Carretera en Plaza   En Plaza o centro Comercial sobre Carretera Principal, parqueos, servicios como bancos, clínicas medicas, supermercados, gasolinera, restaurantes, panaderías etc Plaza con gran afluencia comercial, parqueos, seguridad  las 24 horas. El local incluye conexión y contador de Gas, campana de Extracción de humo y olores, Ventanillas para paso de alimentos y mobiliario de mostrador de despacho y atención  al publico.   En el área se encuentran mesas y sillas que pertenecen a la plaza, área bajo techo. Piso de cerámico claro.  Mantenimiento incluye agua potable, extracción de basura, seguridad común, limpieza en áreas comunes. Depósito en garantía es una renta sin IVA, local cuenta con contador de energía eléctrica, no cuenta con línea telefónica. Parqueo en sótano para condomines.  Horario de 7am a 9 de la noche.",En Renta local área Food Court sobre Carretera en Plaza,Renta,USD750,Locales comerciales
"Detalles de Se renta local comercial 2do nivel Plaza en San Lucas   En Alquiler local 85 metros en Plaza o centro Comercial San Lucas Sacatepéquez sobre Carretera Principal, parqueos, servicios como bancos, clínicas y servicios medicos, supermercados, , gasolinera, venta de ropa etc. Plaza con gran afluencia comercial, parqueos, seguridad  las 24 horas.  Mantenimiento incluye agua potable, extracción de basura, seguridad común, limpieza en áreas comunes. Depósito en garantía es una renta sin IVA, local cuenta con contador de energía eléctrica, no cuenta con línea telefónica. Parqueo en sótano para condomines.  Horario de 7am a 9 de la noche.  Listas para entregar en Julio 2022. Parqueo gratis para clientes del centro Comercial  RENTA tiene incluido mantenimiento + Impuestos Listos para entrega en Julio 2022. Se ven desde parqueo de la plaza, se encuentran en un 2do nivel con ventanales",Se renta local comercial 2do nivel Plaza en San Lucas,Renta,"USD1,131",Locales comerciales
"Detalles de En Alquiler local comercial 60Mts Plaza de San Lucas    En Alquiler local de 60 metros en Plaza de San Lucas sobre carretera interamericana, parqueos, servicios como bancos, clínicas dentales, oftalmologicas etc, supermercados, , gasolinera, venta de ropa,  entre otros. Plaza con gran afluencia comercial, parqueos, seguridad  las 24 horas.  Mantenimiento incluye agua potable, extracción de basura, seguridad común, limpieza en áreas comunes. Depósito en garantía es una renta sin IVA, local cuenta con contador de energía eléctrica, no cuenta con línea telefónica. Parqueo en sótano para condomines.  Horario de 7am a 9 de la noche.  Listas para entregar en Julio 2022. Parqueo gratis para clientes del centro Comercial. RENTA tiene incluido mantenimiento + Impuestos Listos para entrega en Julio 2022. Se ven desde parqueo de la plaza, se encuentran en un 2do nivel con ventanales.  Cuota de Mantenimiento incluida en Renta + impuestos",En Alquiler local comercial 60Mts Plaza de San Lucas ,Renta,USD798,Locales comerciales
"Detalles de En Renta local en San Lucas Sacatepéquez   En Plaza o centro Comercial sobre Carretera Principal, parqueos, servicios como bancos, clínicas dentales, oftalmologicas etc, supermercados, , gasolinera, venta de ropa,  entre otros, Plaza con gran afluencia comercial, parqueos, seguridad  las 24 horas. Mantenimiento incluye agua potable, extracción de basura, seguridad común, limpieza en áreas comunes. Depósito en garantía es una renta sin IVA, local cuenta con contador de energía eléctrica, no cuenta con línea telefónica.  Listos para entrega en Julio 2022. Se ven desde parqueo de la plaza, se encuentran en un 2do nivel con ventanales.  Cuota de Mantenimiento incluida en Renta + impuestos Parqueo en sótano para condomines.  Horario de 7am a 9 de la noche.  Listas para entregar en Julio 2022. Parqueo gratis para clientes del centro Comercial. RENTA tiene incluido mantenimiento + Impuestos",En Renta local en San Lucas Sacatepéquez,Renta,USD798,Locales comerciales
"Detalles de Renta local en San Lucas Sac. plaza sobre Carretera   En Plaza o centro Comercial sobre Carretera Principal, parqueos, servicios como bancos, clínicas dentales, oftalmologicas etc, supermercados, , gasolinera, venta de ropa,  etc. Plaza con gran afluencia comercial, parqueos, seguridad  las 24 horas.  Mantenimiento incluye agua potable, extracción de basura, seguridad común, limpieza en áreas comunes. Depósito en garantía es una renta sin IVA, local cuenta con contador de energía eléctrica, no cuenta con línea telefónica. Parqueo en sótano para condomines.  Horario de 7am a 9 de la noche.  Listas para entregar en Julio 2022. Listos para entrega en Julio 2022. Se ven desde parqueo de la plaza, se encuentran en un 2do nivel con ventanales.  Cuota de Mantenimiento incluida en Renta + impuestos. Parqueo gratis para clientes del centro Comercial. RENTA tiene incluido mantenimiento + Impuestos Comercios sugeridos: gimnasio, tiendas de muebles, oficinas de atención al cliente tipo Claro, Tigo; artículos médicos...Contrato en escritura pública de 1 a 35 meses. incremento en rentas del 5% inter anual.  Deposito 1 renta sin impuestos",Renta local en San Lucas Sac. plaza sobre Carretera,Renta,USD798,Locales comerciales
"Detalles de Oficina en Venta en Planos en Zona 16 CAYALA   Oficina en Venta en la Zona 16 de Cayala, contara con 101.47 m2 de construcción + un medio baño. Estará ubicado dentro de proyecto de apartamentos que consiste en un desarrollo de 6 torres de uso mixto con comercio en la planta baja y apartamentos en los niveles superiores.  Proyecto rodeado de amplias áreas verdes, supermercados, tiendas de conveniencia, gasolineras, restaurantes en el sector, seguridad las 24 hrs. amplio parqueo para visitas. Las divisiones de los inmuebles serán de muro de mamposetría al igual que los cerramientos perimetrales al exterior. Los acabados en los muros son, en el interior block expuesto y en el exterior texturizado Santa Fé en los edificios A y B y concreto martelinado en la torre C. •Sus losas son de concreto reforzado con una tolerancia de nivelación de +/ 1.5cm, dejando una base a 0.02m sobre el NPT para instalación de piso. •Se entrega sin acabados en cielos vigas y losas de concreto expuesto resanado. •Los inmuebles se entregarán con puertas y ventanería de vidrio monolítico con perfilería de aluminio según diseño de cada oficina. Las oficinas no estarán comunicadas al vestíbulo interior de los edificios. •La altura de piso a piso de los inmuebles en el primer nivel serán de 4.00m en las torres A y C mientras que los inmuebles en la torre B tendrá 5.00m.",Oficina en Venta en Planos en Zona 16 CAYALA,Venta,"USD322,606",Oficinas
"Detalles de Oficina en Venta Zona 16 de Lirios de Cayala PLANOS   Proyecto que consiste en un desarrollo de 6 torres de uso mixto con comercio en la planta baja y apartamentos en los niveles superiores, contara con amplias areas verdes, parqueo de visitas, tiendas de conveniencia, supermercados, restaurantes, bancos del sistema.  Oficina en venta con un área de construcción de 101.47 m2  Las divisiones de los inmuebles serán de muro de mamposetría al igual que los cerramientos perimetrales al exterior. Los acabados en los muros son, en el interior block expuesto y en el exterior texturizado Santa Fé en los edificios A y B y concreto martelinado en la torre C. •Sus losas son de concreto reforzado con una tolerancia de nivelación de +/ 1.5cm, dejando una base a 0.02m sobre el NPT para instalación de piso. •Se entrega sin acabados en cielos vigas y losas de concreto expuesto resanado. •Los inmuebles se entregarán con puertas y ventanería de vidrio monolítico con perfilería de aluminio según diseño de cada oficina. Las oficinas no estarán comunicadas al vestíbulo interior de los edificios. •La altura de piso a piso de los inmuebles en el primer nivel serán de 4.00m en las torres A y C mientras que los inmuebles en la torre B tendrá 5.00m.",Oficina en Venta Zona 16 de Lirios de Cayala PLANOS,Venta,"USD322,606",Oficinas
